image,value,geometry,id
"{'geometry': {'type': 'Point', 'coordinates': [39.242881431356, -6.8294964056497]}, 'id': '979793733836552'}",construction--structure--building,Gnh4AgoGbXB5LW9yKIAgEmkYAwgBImMJxArcLuoCBAdyCAgYDAgmDxQfEAcHMRMHDx8Eaw8XAx8NFxsAFxE0AAQPBwdSDxopKAcMSh4AABAZAAsiGxgMSg8oADoZMgcADjAJAA8qABgeMgQYABANGJEBBy0PCxcHaw8=,979855013830424
"{'geometry': {'type': 'Point', 'coordinates': [39.242881431356, -6.8294964056497]}, 'id': '979793733836552'}",construction--structure--building,Gk14AgoGbXB5LW9yKIAgEj4YAwgBIjgJ7j2aI7oBDxcAGQQPDAcUAAwXBKsBCBFeBxIPKAcEDwQHCA8WEQh0AAgEKAAiBIoBAzotBxsXDw==,979855017163757
"{'geometry': {'type': 'Point', 'coordinates': [39.242881431356, -6.8294964056497]}, 'id': '979793733836552'}",construction--structure--building,GrsFeAIKBm1weS1vciiAIBKrBRgDCAEipAUJ3B6eH6oTBCkAJwQfACEELwAhCB8qBywQBAcOhQIlAAspCB8kIQoXKCccMRoPEB8QCQQPFAcED6QBmwEEDw4AICkMAD4/NCESFxgHCA8MAAgPEAA2MUoxEAAkH/oBcZQBIRgPZAdeF7YCACoQkAEQMBheEgwQGgAgEAgQKggUGtQBahYYJBAIEBgKEhgkEAQQJBAuMhgIWloMABYiDAAMGDowIDocEBoiThEIDxAADA8UAAgPFghSlAEYGAwgCAAMIggAMlokIAQYCAoHGBMIBxgEsAIEYggYACIeACwHMgluBxwPBAAiCBAPagcMCAwnBjAYGAQSCwhdBxEYGxATIAASISAnzAEEXAgotwEIIxAJGgBAEjoAQgAYABANEAM6IzIPACkoAxAAGhAYAzIHCAg4DjIUKBQSDCgbEC1KGydJCRMHBw8xBwuLAQBpDy8pCBOcAQsIDyElFxMxAA8zcUUHDxAJGBcQBxobGBVqDxoAEBtCI4YCBWoTGAM6GwgDEFEAGxA1QhMHPQgLBwsfGDEAJwsZLQcLDxMABw8pDwcRHwcHDyUPJzELACUvXQgvKA0iDxBFICc6MRADQQ83A2ETMQsHNRAnWgkAI0ofACVBFwg5BxMiACgLKgAYOVoTCA8fLSEXABsiFQATGQsADxcADwsXHRkPNxMpFw81ABsgBxoVCBMhDwcDDwcAAw8HAAMPCQATKQcvDyE9BzMfERkXFxMnBwALISEfI0kHACE5BwArYQcAER8vIRM/AwcAEQkHAwcfHwMPDwcDESUXAwcHAAcHAwAHBwcACwcVMQAPCxcHAA8xACcHGQQXBHEDYw8KBwkDFw0HBxcXCAAxDwnKF8AHKgMoBBAKAAQfAxcPCZ0XxwcqB0oMAAQnBKMBC0oP,979855020497090
"{'geometry': {'type': 'Point', 'coordinates': [39.242881431356, -6.8294964056497]}, 'id': '979793733836552'}",nature--sky,Gkx4AgoGbXB5LW9yKIAgEj0YAwgBIjcJvj+sGbIBBDEWDwAXCQcEFxIRAA8IAAwXAA8IAACACAMAC7sBC1EDcwMPADEDBwAnBQcPtwIP,979855023830423
"{'geometry': {'type': 'Point', 'coordinates': [39.242881431356, -6.8294964056497]}, 'id': '979793733836552'}",nature--vegetation,GiJ4AgoGbXB5LW9yKIAgEhMYAwgBIg0J6AKmJxoAMhcRAB8P,979855027163756
"{'geometry': {'type': 'Point', 'coordinates': [39.242881431356, -6.8294964056497]}, 'id': '979793733836552'}",nature--vegetation,GiZ4AgoGbXB5LW9yKIAgEhcYAwgBIhEJoBz+HComByQaHzAhBwcXDw==,979855030497089
"{'geometry': {'type': 'Point', 'coordinates': [39.242881431356, -6.8294964056497]}, 'id': '979793733836552'}",nature--vegetation,Gjp4AgoGbXB5LW9yKIAgEisYAwgBIiUJwBXcG3oAKQMXCw8DMRQxBC82IWoSFBgOABQoBBoHShgwTRgP,979855033830422
"{'geometry': {'type': 'Point', 'coordinates': [39.242881431356, -6.8294964056497]}, 'id': '979793733836552'}",nature--vegetation,Gp0BeAIKBm1weS1vciiAIBKNARgDCAEihgEJ7hmsJuoDDEkgSRJJEPUBDPcCG5sBBVEGKRgHCBADNxAhHAAOCAQSGAgQGQQnGBcaAAQQAwgEKAgSABkMHwQyDCEMEAASABAACDcQEVoTGAMyExgEKgwQCCAAWgc6JlIAEA0iAzgPGgcwCBgUAAgaCoIBIUIHABc6ISAPKgsAHyAZAB8oDw==,979855037163755
"{'geometry': {'type': 'Point', 'coordinates': [39.242881431356, -6.8294964056497]}, 'id': '979793733836552'}",nature--vegetation,Gi54AgoGbXB5LW9yKIAgEh8YAwgBIhkJuBnGHEoQCAQPJgAQGRgABBIOCBU4XQ8P,979855040497088
"{'geometry': {'type': 'Point', 'coordinates': [39.242881431356, -6.8294964056497]}, 'id': '979793733836552'}",nature--sky,GkN4AgoGbXB5LW9yKIAgEjQYAwgBIi4J+h3uHJoBTgcPHy0PAxkYFx4AFB8DIQQHDAgAEAMABBoAGAMgA2QtCQMKCxEP,979855043830421
"{'geometry': {'type': 'Point', 'coordinates': [39.242881431356, -6.8294964056497]}, 'id': '979793733836552'}",construction--structure--building,GiB4AgoGbXB5LW9yKIAgEhEYAwgBIgsJ4gWqKxIACAMADw==,979855047163754
"{'geometry': {'type': 'Point', 'coordinates': [39.242881431356, -6.8294964056497]}, 'id': '979793733836552'}",construction--structure--building,Gih4AgoGbXB5LW9yKIAgEhkYAwgBIhMJkAGIJTIIexgXBCgDCAcSBFIP,979855050497087
"{'geometry': {'type': 'Point', 'coordinates': [39.242881431356, -6.8294964056497]}, 'id': '979793733836552'}",object--wire-group,GiB4AgoGbXB5LW9yKIAgEhEYAwgBIgsJ3B7SGxIAGgMZDw==,979855053830420
"{'geometry': {'type': 'Point', 'coordinates': [39.242881431356, -6.8294964056497]}, 'id': '979793733836552'}",object--wire-group,GiB4AgoGbXB5LW9yKIAgEhEYAwgBIgsJgh/6GBIEGgMADw==,979855057163753
"{'geometry': {'type': 'Point', 'coordinates': [39.242881431356, -6.8294964056497]}, 'id': '979793733836552'}",object--wire-group,GmB4AgoGbXB5LW9yKIAgElEYAwgBIksJxB3mHIoCGwcpCBMfIwADIQQHHB8yDywxJg8cHxgxHg8IDxwHCAgHigELBwMIBCITIB0AFxgEGi4QECBNCAMAAwcHBwQXBwADGA8=,979855060497086
"{'geometry': {'type': 'Point', 'coordinates': [39.242881431356, -6.8294964056497]}, 'id': '979793733836552'}",construction--flat--road,GogBeAIKBm1weS1vciiAIBJ5GAMIASJzCZo6zi+aAxIfEAcIMRQXBB8uUSijASZRFEkQFxhZCAcEIRo5BB8gUQAPKlEQBwQPGBkILxQhFlkUJyAXDBkaBwhBJCceBzQYQgcAnAELAAAQDAgAwAoLAAMQCwi3AQBfIucBByEZIwcLHwMxHUEXDyMADw==,979855063830419
"{'geometry': {'type': 'Point', 'coordinates': [39.242881431356, -6.8294964056497]}, 'id': '979793733836552'}",construction--structure--building,Gmd4AgoGbXB5LW9yKIAgElgYAwgBIlIJwgeULKICFgcEEBwHJAgaJwAhFCccBwBBEC8EMQ4HDBgEDwedAggZA0kQDwgQABoHMCikARcyCHoPQiMyAygNGBMIACIICAAQFBAPEnkIKREP,979855067163752
"{'geometry': {'type': 'Point', 'coordinates': [39.242881431356, -6.8294964056497]}, 'id': '979793733836552'}",construction--structure--building,Gjp4AgoGbXB5LW9yKIAgEisYAwgBIiUJ6gWCK3oPCQAfEAgIFxAPBBkICAAKBAgEGAQYBBAAEhMICxkP,979855070497085
