image,value,geometry,id
"{'geometry': {'type': 'Point', 'coordinates': [39.242142611172, -6.8304130370574]}, 'id': '325473053888082'}",construction--flat--road,Gjp4AgoGbXB5LW9yKIAgEisYAwgBIiUJsjjmKXoIABw4FFoUIhJSAzgRFwsAI0ktJwMXDxkHNxgZCCcP,325528353882552
"{'geometry': {'type': 'Point', 'coordinates': [39.242142611172, -6.8304130370574]}, 'id': '325473053888082'}",construction--flat--road,Gjh4AgoGbXB5LW9yKIAgEikYAwgBIiMJ6DrqKHIMIgQoCgAIFxAIFCAEMgAgBxojCAAgCRAHOg97Dw==,325528357215885
"{'geometry': {'type': 'Point', 'coordinates': [39.242142611172, -6.8304130370574]}, 'id': '325473053888082'}",nature--sky,GoMPeAIKBm1weS1vciiAIBLzDhgDCAEi7A4JAACyLoBAAACyExsPAxAZEAsiDxgHBwMpCxcHSQ0XADEOACg/FAAIQQsxAB8LFwdBBwcAGQ8vE4MBFVEHBwcvBwcDIQcHBy8LERlhCw8ADyNRAA8HAAcpVbMBCQAPJwcACyEHACVBaWkPABsfGQcPGUEfDxcbBx8hgwE3OQkXDzUHDw8fAFUf0wI50wIP5QEwQSITIAAgEyoXGIgEEJoCKhQQ1gEyJBgaADQgKggcGjIQCBAsEAgSRigQGBoIEBoYCAwYDAAWIBQKDBgYEAQQGhAYMhQQLloIAAwiCAAgQAgAEioIAAAQDAhq5gEAEBAYBCIaOAxCCAgQShAgEEoiQhRSFBgAOgQYCAgGWgwaABgQMgAgFEIAGAwYBEoMEAQqCggEDwAxBxcAWQwPHAAAyggXABkgFwgDEB8QDxoRABcgUSBFABcKBxAxKTsIRQcPEBEHAB8EAAMxBwcDEgBQMxIABwTtBhEHAwgDwAIDGAOeBLcBQQsPMQcbGSsPETkDWSIHAxcdCAuTAQcXA1EHHwNhAAkDAAMAAwc5HxsfAxEHAAMPEQAvJxMAISEnByEnZSkHDwQfBw8PAAMQHRgTAC8XKQA1ITsHDw9BCB0PAx8TGQsAG0IdELkCEBUKBxBBECcoAxIPCAcYBwBBnAELAC1RBwALIQcABx8PFwAPERkAD0OJAQUhK2EDHwsJAx8LBxVRCwcDHxtBAykLDwMvDRkDLwcHF3sLDwMfCxERPwsRBycTHwsxDxcNMSNJAA8LDwAXFzEVBw5CEBgQOgwIBBgQGAQiDBAWUhAYDDIgQBZSDBIAGAwYDEIICAQqDBAEMAoICDoMCAQqHDgUUh46ABAMEAgqDBAEIC5kABAsWgAQGjIAEAgAECgIACBCCAAIKBcyBwAbQgcANWoAEAsILWQTAAMRCwcpBwcPAHkDEQ8HCxoEYgcQKQcLDxMAQSkrBwsPWRcN8wMDpwUD3QEAJwP1AQcxADkDFwAHAC8HKQMfAAcDEQAHAw8ABwMPB1khDxcIAFoMagAgBBIQsAUK+gg1B1kpIQAnJwMPMSkjEA8aKQAzSSEAnwFyAxAXEhcwDwgJGg8IBxgfIAcaIRgTIJsBByNBGwcNGhcQBxgbGAMSBwA1ag86BwADGB0wABITGB8HMVkjCDUoGwADBwCrARhZAMMBB2EdABMZFwATGiUHCxAXBzUIDxAHGATOARMICw8AKQgHAxcEWQcpCZsBBA8OBwcfJDkEWQsxOQAzJyEAFxAbBw0XBwAPKQcAAA8XMQMfKUkDHw8XAykTJx0hDycPBxMpEw8JFycpBxchFwMRKycDDxMHAxEhHyMPBw8xEDkpHxIHCSxZJicsURIHCBcQBwgZEAcIFy4xCBdGSQgXEAccMRYHEB8MABghGAcOFxgHDBcYCR4fHAcEDyAHFiEYByMHe0InMA0AHyoLAElKAxALAAMQQUIXKB0SAxAbEB8gAxIxIA8PBzEkSRAHCBcSBwgXEAkgNxoHBBFANwQPIiEcDwQPPikQFx4HDBcgBz5BEAAUISIHDBccABgXTgc6IawBDw8QEzIZCBMgIwgVIjMQCBAMADIHPB8mABgZOgcgFygHUkGcAQ/eAVmKAgeoATqQAQhuQSgHFg8EEWIHEB8IAAAPFyk9BwMQGyIPITEfUQjfAwdhGIkBQnsQdTJBAE0QExBRCDkaRQgjGEEIGxg5CA8aIwgRGBMAExgbCEkyBxARAA8YIxKJAoYCAxARCAMQKzILIAcADSIbIB9KBwAAEBkqABArYgAQCwgDIgsYeyEHEgBSByAbADEXFwALGB0HAxCrAQ8PGAC0AQsiUSBZQhkAExALFwebAQMPEwcPEBUAFyAbCC0yGwgPGCEQCxoXCDU4CwBBSgsAEyILAAMQGRADEC8qAxAdGCM6DwgPIC0qNVoHAB86HyANIAcACyIHAAsgGyJrzAEHAAMYBwAjSgcAHUIHAAMYBwAbQgcAQYwBBwALGBUAHw8PISUPAw8LAAcPcUkAFwMpAB8DBwkIBlIFAAsHTQgPGRMADwniGdcSGjkABxAsAA8JrgOuDMIDE1IAIAwaBEoeCAwHDDEQFww5DA8SQQgHAA8YMRR5LlEQORAXBCEMDwAPEhcEITx5BBcOBwARIEkDFyUACxcTAAMPCwATMBEQACIHEBMAABgPCAAaDxADIAcAByodOBNSCxIDIA8gABINEBNqK2oHOg8JkAufEDIjCAAYDBAgAAQXAw8PCboQ3BYSBwAEEA8JHDEaAAgEAAAHDwkWJ4oCCQAHGBIABBcUBwwhDAAEFxgPChcMAAQZEAcEFxAHDCEIAAYXDAcIHwsHABARCAMYDxAAEg8ICyAPCC1SDwgHGA8KDwk46QISEwAEEg8JTjEiHwAHEBAIGAcPCZQB6gUaAyAMAAQfDwnQAd0EwgETAAQYGAgAEAoIIAoIGBQAECAeCAgaIAgQGBoAAA8TBwkZGwcPFxsHDRcPABMhFwcPCZsFOUocACIPDBcoBwQPLwAZGBsADxAP,325528360549218
"{'geometry': {'type': 'Point', 'coordinates': [39.242142611172, -6.8304130370574]}, 'id': '325473053888082'}",nature--sky,GjB4AgoGbXB5LW9yKIAgEiEYAwgBIhsJpj/cHlIEDxQHDBcWCAcADTAXABMiDwALGQ8=,325528363882551
"{'geometry': {'type': 'Point', 'coordinates': [39.242142611172, -6.8304130370574]}, 'id': '325473053888082'}",nature--sky,GiB4AgoGbXB5LW9yKIAgEhEYAwgBIgsJpj74HxIGBwAIDw==,325528367215884
"{'geometry': {'type': 'Point', 'coordinates': [39.242142611172, -6.8304130370574]}, 'id': '325473053888082'}",nature--sky,Gip4AgoGbXB5LW9yKIAgEhsYAwgBIhUJ5j3GHzocBwgaDAAMIBMHDxcPAA8=,325528370549217
"{'geometry': {'type': 'Point', 'coordinates': [39.242142611172, -6.8304130370574]}, 'id': '325473053888082'}",nature--sky,GjB4AgoGbXB5LW9yKIAgEiEYAwgBIhsJ2BLgD1IIIRAHABcECB4HBEILEAcgMQ8AHw8=,325528373882550
"{'geometry': {'type': 'Point', 'coordinates': [39.242142611172, -6.8304130370574]}, 'id': '325473053888082'}",construction--structure--building,GtQFeAIKBm1weS1vciiAIBLEBRgDCAEivQUJALwhqhEcABofAA8UERgKBBgiBwQoCB8EIRQHDBcAWQ8nNjlqDwAIEAcYAAMhBzcDBwsRAwcEDxwPFgAMFwgAQosBCAAcQQgABBcIAB5BCAAkSQgABBcIAGzLARwhDB8IAAwhCAAOHyAfIDkIADZZLikQHxAHJDkeFwQPMCkEDxoPBA8MABQhDABCSQwANjcYBwwZIg8QFxwHLjEcBxgfFgAQDxQIBBAInAEMGBQPGgBaQVIfDCEAswEQF6wBEAQPHggMFxgAMhgcAAgfAFEIEXwiDBAAICASBBgUBxYIHCEICiAROioyDwgQJBAiIAQSFAgEECwoBBIiGAgYKCoKGBQQFCoQCBAoHiIUKAQqEBgEICpKBCAYMgAQCAAQKggADhgcCBgPIgA0KDoADDIDWiM6CCANCAMQCpwBCCoDWgQYBwgAKgwQFAcDzQEIFxAPNgcYCAwPJggUGRgAFBoeAAhiAMQBF1oJAAa2BACsAQAYERBNCBciACAXGDEHAzIIEAMIBCIAOAtaJ3wRKAMiJ1IHADFqBwADGAcAQYwBDwgHGBcYByIhMEUiVRAHEGkHmwEyKxFRAEUiBxAbEAUQGyInEBEYNwBhByUPGwgxEAMqBwAPIBcHBxAVAE03Gzk5AA8QCw85CJkBH18ISw9rCDcRDQ8bAA8ANQAbHw8AMSkPAAsPDwA9L0EhKy8lBxsZDwAZHx8HNTkfBxcfSSETQQelAncIK1kVBwcPE0kfKRE/BykHSQcPGwgPHzkIDwnGELkLOgMQCwgAOggABBkMDwAfDwkIccoCAzAEEBQPCB8MBwopHC8QSSBJBiEsWRxxIkkMORAXBB8TCAcgDxAAEiVKDxAAEA8ACFEQQQgHDEEAFw8IGzoxrAEbMBeEAQcICTIHCAM4CBIAGBN6DwnNENwLIgMoBCIIBwAxDw==,325528377215883
"{'geometry': {'type': 'Point', 'coordinates': [39.242142611172, -6.8304130370574]}, 'id': '325473053888082'}",construction--structure--building,GiB4AgoGbXB5LW9yKIAgEhEYAwgBIgsJyjuiHhIEMgMADw==,325528380549216
"{'geometry': {'type': 'Point', 'coordinates': [39.242142611172, -6.8304130370574]}, 'id': '325473053888082'}",nature--sky,Gjh4AgoGbXB5LW9yKIAgEikYAwgBIiMJAJIecgwABA8eFxw5JAAIDw4IBLACERELPwsJDy8bFzEIDw==,325528383882549
