image,value,geometry,id
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",construction--barrier--concrete-block,Gl94AgoGbXB5LW9yKIAgElAYAwgBIkoJnhOIKIoCEB8gIWAIVidMCGAqEBAIGAgAMnIgGgggACAPGhNyERAHGg8AHygtEBcYQQcbLxMHHSEfSQcACxdZDy0pA1kDHwcHDw==,984123306845702
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",construction--barrier--fence,Gip4AgoGbXB5LW9yKIAgEhsYAwgBIhUJkjrEHjoACAMAAwADAAAHBAAEAA8=,984123310179035
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",construction--barrier--concrete-block,GiZ4AgoGbXB5LW9yKIAgEhcYAwgBIhEJvAnCKyoADxAIAzIHAAsZDw==,984123313512368
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",construction--barrier--fence,GiR4AgoGbXB5LW9yKIAgEhUYAwgBIg8JqDm8HiIICAMQCwAADw8=,984123316845701
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",construction--structure--building,Gip4AgoGbXB5LW9yKIAgEhsYAwgBIhUJ/iDSIDoACAMAAwADAAAHBAAEAA8=,984123320179034
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",nature--terrain,GjJ4AgoGbXB5LW9yKIAgEiMYAwgBIh0JmCTmIVoDER4ndgcICAgADBgLABMaFwANCEsHDw==,984123323512367
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",nature--terrain,Go8FeAIKBm1weS1vciiAIBL/BBgDCAEi+AQJziOOJ9oNDhkIAAwvEBcIABAgIggIEBQACAcADyoQEA80ByohFCcUBw4pIAAECAgaCAAEAAQIDAgEEAoAJCpmOAgQGgowMCAIChAkEggQRigIEFYqGCBSMiooPBoKECgQOjIkCCooBAdWACAQRgAcD5wBCCoXPAdKGC4qShBmBygZGAAODywHHBeEAQ86KRQvNikQJyQHIhkcACQXLgAYFyIHCBEsDyovJBlGDygvLhkID0YPSjEcADInDBcUCSRHEhEgBwwPHAgDhAEDEBuIBQgQJgAACAgHIAAIGRzzBgYfABEILzAXBAcEACYJGAoAtg8LCAcoEwgdQgAQCwgTKi28AT9qFWwXIBsQAxARCBcqlwEgGyIPAAsQEQALED8gGSIXCBMYlwEQaTJvBxsQywEIOScTAAs5NVk9MSMHRScxOQsAJy8LAAMRKScTBwcXHRk3WWlpPVkHMQsXA0ERNwMxIx8DGQ8IrwIPRSoDEBcQAxAXGiEQIwBpIVESOTAfOgkABxgHAAcYBwATMiUoTTIjCAsADFEDowEHNw8xA0EpiQEHOQcHD1ExYVVRDykDHx9JEQcTMSMXCx8NBwNRD0kHYStRCSELeQ8J6BDECYoCERAAEBoqABAMGEoKGBEEFwwPKgccCAwhNhIUKSQXAB8bCAMRCwALFzkPAzkLBwcnBw8ZAAsYIwgZGAMQPzoHIAQqDwn9Ds0EggIDMgQQJgAIGSwAEAoWIBQADB8IEAwACDEIBwZZDAcUKQAPBwAPEAASEQgAEA8QAxgfCgMQMRgDEBMABxcTBxEQDwnqAasBUgcAAxAYAAwfEgcEDwMRDQgDEg8ADw==,984123326845700
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",nature--terrain,GkB4AgoGbXB5LW9yKIAgEjEYAwgBIisJAKwhkgEgByoINB82BwQYBxgHBxMgDwAVBwAHAwgHEAsaGwchIA8ABwcP,984123330179033
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",construction--barrier--wall,Gjx4AgoGbXB5LW9yKIAgEi0YAwgBIicJALYfggEYBwgHIgAgEDoAIAgEEAAKAFoDGAAgBxo1CDMgKQcfCA8=,984123333512366
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",nature--vegetation,GiB4AgoGbXB5LW9yKIAgEhEYAwgBIgsJgj/4IhIIKgcwDw==,984123336845699
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",construction--flat--sidewalk,Gjp4AgoGbXB5LW9yKIAgEisYAwgBIiUJ9hW6OHoEAAQQDAgHIAAyDBgAIi8oNQATFzkPBCEMD3wxEB8P,984123340179032
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",construction--barrier--wall,Gip4AgoGbXB5LW9yKIAgEhsYAwgBIhUJmCTmIToaB0wIBxAzEBkYGx8ADw8=,984123343512365
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",nature--terrain,GiN4AgoGbXB5LW9yKIAgEhQYAwgBIg4JQqYfIigHJggMEDkADw==,984123346845698
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",construction--flat--road,GogBeAIKBm1weS1vciiAIBJ5GAMIASJzCfQjtjeqAwMfCxkHAAAPJBcEHxMpAA8THwARGC8EQQMHJA8IIQAfCx8AORApFgAMFxgPJkkQWhwyCDAMCAQSaCgYKhQIFCAyCAwAnwFiAxAXGgAQDxgAEA0SDzgPGgcwJ2oFSgsaEwATKSEXD0kXKQAPDw==,984123350179031
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",construction--flat--road,GsoCeAIKBm1weS1vciiAIBK6AhgDCAEiswIJAMY8ggkcAAgXHghWMV4fDCkyDwgfAFEUBwQZHBcIFy4IEAcQIBoQGA8gQgQYAwg7ABEaACAWIAAiKCAqCCgiLgiaAQBKGSIXDBcDcxNHABkMLwNRHGEgGQwXOhcUITYPEA8uACAXMgicARlWElYoCBAUCBAiLigMAAgQKABCF0IIDA8oAD45DB8WACAfGAAUGTIHFAgIEh4AICAcMiIYCCAQGAASEBgAEBoYGDosCGAIOA8QGCIIBzJrGKcBABMPPQAbCAcQABoMGCIQQFJKFz4AFA9SCC4hFAA6HzQIEBAEGhMwBBA6GgggFCBOSgAiDBAEIBYqAzgZEmEItwEAMQ/zAQlFD9kBAGkfCw8hBycpYTExADMitQEAjQEhwQEALw9NAG0nWQfhAQinAQetAzAP,984123353512364
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",nature--terrain,GkJ4AgoGbXB5LW9yKIAgEjMYAwgBIi0JsgOkIZIBOgAoEAwIBAAECFwiJAAMAAgYD8QBDxcpCBMPVRcbGS1ZAEELDw8=,984123356845697
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",nature--terrain,GiR4AgoGbXB5LW9yKIAgEhUYAwgBIg8JpDD0HiIHBwgHPgATEA8=,984123360179030
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",construction--structure--building,GiR4AgoGbXB5LW9yKIAgEhUYAwgBIg8JxCHMISIEEgcIBwcAEQ8=,984123363512363
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",nature--sky,GiJ4AgoGbXB5LW9yKIAgEhMYAwgBIg0JvAWiFhoAEgcIAA8P,984123366845696
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",construction--structure--building,GiJ4AgoGbXB5LW9yKIAgEhMYAwgBIg0JpCGEIRocCAQQDwAP,984123370179029
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",nature--terrain,GiZ4AgoGbXB5LW9yKIAgEhcYAwgBIhEJuDK0HioMETQAChINACMIDw==,984123373512362
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",nature--terrain,Gkh4AgoGbXB5LW9yKIAgEjkYAwgBIjMJhg6SI6IBDAcQEDIHIAigAQ8UEEYQGhAIBzggdAAgIj4QOQiLAQddF5UBB1khTQctFw8=,984123376845695
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",nature--terrain,Glp4AgoGbXB5LW9yKIAgEksYAwgBIkUJrCniIPIBBw8sQSoAOh9iFwgQDAAIBwARbhcaCBQPJAAiCBQPLAAaF0IAGBgDEGEQAwjVATovGDEAGwgZAAMKSRBDIA8=,984123380179028
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",nature--terrain,Gid4AgoGbXB5LW9yKIAgEhgYAwgBIhIJAMAiMhwPFhARMAMqCxAPAA8=,984123383512361
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",nature--terrain,Gjp4AgoGbXB5LW9yKIAgEisYAwgBIiUJ7AqaLnpKEiIgEAAICAQAHBgUECY6BxAZAAcfJw8bKV8nCw8P,984123386845694
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",nature--terrain,GtEBeAIKBm1weS1vciiAIBLBARgDCAEiugEJ0BLmMcIFehlCHy4Adh8qGUwPIhdKD2I5Sg8QD0IAPBk6EhggIgccACogLAgcIjYIEDBBF2kATSAfIgsgCwADEAMABQgLCgMIVWobEBMqCwADGAkACyAbIg8oBwARIgs4CxgPCgQwBxAAOgwqB2IDGBsgSSpFSgMArwFyNQg3EF8HAw8LBwAXDCEWDwxJHC8IACJBCAAIFwgAJFkeIQSjAQMXDQcDDw8HCxknFwMPISETBzFZBwAXLw8=,984123390179027
"{'geometry': {'type': 'Point', 'coordinates': [39.24592100798, -6.8267061920201]}, 'id': '984075966850436'}",nature--vegetation,GiB4AgoGbXB5LW9yKIAgEhEYAwgBIgsJ4AaSJhIAGgcJDw==,984123393512360
