<<<<<<< HEAD
osm_id,mapillary_id,line_x_pixel,image_width,image_height,half_cropped_image,full_image_filename,cropped_image_filename,,,,,,,
338449341,1773791850132402,972,4096,2048,left,1773791850132402.jpg,338449341_1773791850132402_left.jpg,,,,,,,
338449359,1752274065569644,1020,4096,2048,left,1752274065569644.jpg,338449359_1752274065569644_left.jpg,,,,,,,
338449371,1105001937898532,938,4096,2048,left,1105001937898532.jpg,338449371_1105001937898532_left.jpg,,,,,,,
338458832,9.5275E+14,1541,4096,2048,left,952749736362476.jpg,338458832_952749736362476_left.jpg,,,,,,,
338458855,1537080940311113,833,4096,2048,left,1537080940311113.jpg,338458855_1537080940311113_left.jpg,,,,,,,
360250563,1673835376819874,2915,4096,2048,right,1673835376819874.jpg,360250563_1673835376819874_right.jpg,,,,,,,
360250700,1007083531468732,2916,4096,2048,right,1007083531468732.jpg,360250700_1007083531468732_right.jpg,,,,,,,
360252186,6.50308E+14,834,4096,2048,left,650308360689536.jpg,360252186_650308360689536_left.jpg,,,,,,,
360252187,9.45933E+14,3046,4096,2048,right,945933274377412.jpg,360252187_945933274377412_right.jpg,,,,,,,
360252189,9.79977E+14,2998,4096,2048,right,979977246798355.jpg,360252189_979977246798355_right.jpg,,,,,,,
360260441,9.11897E+14,987,4096,2048,left,911897364350141.jpg,360260441_911897364350141_left.jpg,,,,,,,
360262877,1156965529266762,1054,4096,2048,left,1156965529266762.jpg,360262877_1156965529266762_left.jpg,,,,,,,
360264712,1515709709101377,874,4096,2048,left,1515709709101377.jpg,360264712_1515709709101377_left.jpg,,,,,,,
360264714,4.62302E+14,869,4096,2048,left,462301980293343.jpg,360264714_462301980293343_left.jpg,,,,,,,
360264719,1136962877982355,1092,4096,2048,left,1136962877982355.jpg,360264719_1136962877982355_left.jpg,,,,,,,
360264720,1823504925082553,919,4096,2048,left,1823504925082553.jpg,360264720_1823504925082553_left.jpg,,,,,,,
360265954,9813323848682527,1058,4096,2048,left,9813323848682527.jpg,360265954_9813323848682527_left.jpg,,,,,,,
360266007,2360522974294548,976,4096,2048,left,2360522974294548.jpg,360266007_2360522974294548_left.jpg,,,,,,,
360266011,1118383713320360,970,4096,2048,left,1118383713320360.jpg,360266011_1118383713320360_left.jpg,,,,,,,
360266405,1162018182302070,2836,4096,2048,right,1162018182302070.jpg,360266405_1162018182302070_right.jpg,,,,,,,
360266411,9.22945E+14,3018,4096,2048,right,922945029822156.jpg,360266411_922945029822156_right.jpg,,,,,,,
360267506,9.82448E+14,874,4096,2048,left,982448040451066.jpg,360267506_982448040451066_left.jpg,,,,,,,
360267509,1329843478041871,853,4096,2048,left,1329843478041871.jpg,360267509_1329843478041871_left.jpg,,,,,,,
360267510,6.28056E+14,985,4096,2048,left,628055542971813.jpg,360267510_628055542971813_left.jpg,,,,,,,
360268139,5.70825E+14,1067,4096,2048,left,570824525949472.jpg,360268139_570824525949472_left.jpg,,,,,,,
360268142,5.85589E+14,998,4096,2048,left,585588647719842.jpg,360268142_585588647719842_left.jpg,,,,,,,
360277255,1283882102902516,3053,4096,2048,right,1283882102902516.jpg,360277255_1283882102902516_right.jpg,,,,,,,
360278188,5.90992E+14,3084,4096,2048,right,590992267081568.jpg,360278188_590992267081568_right.jpg,,,,,,,
360279215,1698693294413038,970,4096,2048,left,1698693294413038.jpg,360279215_1698693294413038_left.jpg,,,,,,,
360279819,6.22957E+14,913,4096,2048,left,622957013445938.jpg,360279819_622957013445938_left.jpg,,,,,,,
360280289,9.67778E+14,969,4096,2048,left,967777622083697.jpg,360280289_967777622083697_left.jpg,,,,,,,
360280444,4068918049998824,3297,4096,2048,right,4068918049998824.jpg,360280444_4068918049998824_right.jpg,,,,,,,
360280449,9.20709E+14,909,4096,2048,left,920709466877378.jpg,360280449_920709466877378_left.jpg,,,,,,,
360280450,9817117218316513,3129,4096,2048,right,9817117218316513.jpg,360280450_9817117218316513_right.jpg,,,,,,,
360280453,1752731905293920,3008,4096,2048,right,1752731905293920.jpg,360280453_1752731905293920_right.jpg,,,,,,,
360282088,1156965529266762,3153,4096,2048,right,1156965529266762.jpg,360282088_1156965529266762_right.jpg,,,,,,,
360282155,1275950950164167,1008,4096,2048,left,1275950950164167.jpg,360282155_1275950950164167_left.jpg,,,,,,,
360282302,6.2354E+14,970,4096,2048,left,623539786702555.jpg,360282302_623539786702555_left.jpg,,,,,,,
360283529,1361421675206058,3350,4096,2048,right,1361421675206058.jpg,360283529_1361421675206058_right.jpg,,,,,,,
360284609,1361421675206058,2721,4096,2048,right,1361421675206058.jpg,360284609_1361421675206058_right.jpg,,,,,,,
360285005,1831375514340081,982,4096,2048,left,1831375514340081.jpg,360285005_1831375514340081_left.jpg,,,,,,,
360286824,5.17387E+14,901,4096,2048,left,517387361381185.jpg,360286824_517387361381185_left.jpg,,,,,,,
360286829,6.00705E+14,950,4096,2048,left,600704679528842.jpg,360286829_600704679528842_left.jpg,,,,,,,
360286838,5.25473E+14,884,4096,2048,left,525472549985036.jpg,360286838_525472549985036_left.jpg,,,,,,,
360286847,9.33289E+14,944,4096,2048,left,933289325272467.jpg,360286847_933289325272467_left.jpg,,,,,,,
360286849,5.88229E+14,1001,4096,2048,left,588229424048186.jpg,360286849_588229424048186_left.jpg,,,,,,,
360288460,5.93408E+14,1122,4096,2048,left,593407546920285.jpg,360288460_593407546920285_left.jpg,,,,,,,
360288461,9061792270564101,974,4096,2048,left,9061792270564101.jpg,360288461_9061792270564101_left.jpg,,,,,,,
360288465,4.87596E+14,2914,4096,2048,right,487595891058990.jpg,360288465_487595891058990_right.jpg,,,,,,,
360291461,1151542459749578,952,4096,2048,left,1151542459749578.jpg,360291461_1151542459749578_left.jpg,,,,,,,
360294860,1523303228343423,2976,4096,2048,right,1523303228343423.jpg,360294860_1523303228343423_right.jpg,,,,,,,
360295708,1434221874221025,3045,4096,2048,right,1434221874221025.jpg,360295708_1434221874221025_right.jpg,,,,,,,
360295711,9309075882492055,3086,4096,2048,right,9309075882492055.jpg,360295711_9309075882492055_right.jpg,,,,,,,
360297352,1154789239650359,2974,4096,2048,right,1154789239650359.jpg,360297352_1154789239650359_right.jpg,,,,,,,
360297354,1155112712744432,2982,4096,2048,right,1155112712744432.jpg,360297354_1155112712744432_right.jpg,,,,,,,
360297355,5.86582E+14,3011,4096,2048,right,586582297531204.jpg,360297355_586582297531204_right.jpg,,,,,,,
360301344,5.1684E+14,921,4096,2048,left,516839651431373.jpg,360301344_516839651431373_left.jpg,,,,,,,
360301345,5.12455E+14,3035,4096,2048,right,512455044743468.jpg,360301345_512455044743468_right.jpg,,,,,,,
360301349,6.41885E+14,891,4096,2048,left,641885425038283.jpg,360301349_641885425038283_left.jpg,,,,,,,
360301354,9.59244E+14,928,4096,2048,left,959243936166542.jpg,360301354_959243936166542_left.jpg,,,,,,,
360309769,2598002283734660,2999,4096,2048,right,2598002283734660.jpg,360309769_2598002283734660_right.jpg,,,,,,,
360309772,5.91912E+14,3077,4096,2048,right,591912070359120.jpg,360309772_591912070359120_right.jpg,,,,,,,
360309783,1708247039740828,3090,4096,2048,right,1708247039740828.jpg,360309783_1708247039740828_right.jpg,,,,,,,
360310716,5.81428E+14,1108,4096,2048,left,581427601537378.jpg,360310716_581427601537378_left.jpg,,,,,,,
360311205,6.37203E+14,925,4096,2048,left,637202988853183.jpg,360311205_637202988853183_left.jpg,,,,,,,
360311206,6.49236E+14,1112,4096,2048,left,649235627541680.jpg,360311206_649235627541680_left.jpg,,,,,,,
360311210,1028373495988389,935,4096,2048,left,1028373495988389.jpg,360311210_1028373495988389_left.jpg,,,,,,,
360311212,1125434192926249,835,4096,2048,left,1125434192926249.jpg,360311212_1125434192926249_left.jpg,,,,,,,
360312234,9.6345E+14,2923,4096,2048,right,963450245742751.jpg,360312234_963450245742751_right.jpg,,,,,,,
360312236,1548357749188699,2932,4096,2048,right,1548357749188699.jpg,360312236_1548357749188699_right.jpg,,,,,,,
360312238,5.59574E+14,3079,4096,2048,right,559573503906851.jpg,360312238_559573503906851_right.jpg,,,,,,,
360312240,5.12332E+14,3140,4096,2048,right,512331588091015.jpg,360312240_512331588091015_right.jpg,,,,,,,
360312242,9.43153E+14,3037,4096,2048,right,943152654623271.jpg,360312242_943152654623271_right.jpg,,,,,,,
360312243,4.53559E+14,2974,4096,2048,right,453558661043499.jpg,360312243_453558661043499_right.jpg,,,,,,,
360312246,6.51686E+14,2833,4096,2048,right,651686147538609.jpg,360312246_651686147538609_right.jpg,,,,,,,
360315482,1531755534127209,2853,4096,2048,right,1531755534127209.jpg,360315482_1531755534127209_right.jpg,,,,,,,
360322206,6.15312E+14,2995,4096,2048,right,615311918136688.jpg,360322206_615311918136688_right.jpg,,,,,,,
360322208,1165595478260517,2987,4096,2048,right,1165595478260517.jpg,360322208_1165595478260517_right.jpg,,,,,,,
360322235,1680551249544009,2713,4096,2048,right,1680551249544009.jpg,360322235_1680551249544009_right.jpg,,,,,,,
360322236,1680551249544009,3286,4096,2048,right,1680551249544009.jpg,360322236_1680551249544009_right.jpg,,,,,,,
360324337,5.98838E+14,969,4096,2048,left,598837839599391.jpg,360324337_598837839599391_left.jpg,,,,,,,
360324343,1160987735529633,1066,4096,2048,left,1160987735529633.jpg,360324343_1160987735529633_left.jpg,,,,,,,
360324349,9.86889E+14,917,4096,2048,left,986888843499603.jpg,360324349_986888843499603_left.jpg,,,,,,,
360324361,5.82138E+14,1021,4096,2048,left,582138014688565.jpg,360324361_582138014688565_left.jpg,,,,,,,
360324363,5.66697E+14,951,4096,2048,left,566696929707006.jpg,360324363_566696929707006_left.jpg,,,,,,,
360325690,1160017579037727,891,4096,2048,left,1160017579037727.jpg,360325690_1160017579037727_left.jpg,,,,,,,
360327139,1845219202971243,3130,4096,2048,right,1845219202971243.jpg,360327139_1845219202971243_right.jpg,,,,,,,
360328402,9.59245E+14,941,4096,2048,left,959244939503766.jpg,360328402_959244939503766_left.jpg,,,,,,,
360328584,1403412307196836,3044,4096,2048,right,1403412307196836.jpg,360328584_1403412307196836_right.jpg,,,,,,,
360329218,1127155245811163,2997,4096,2048,right,1127155245811163.jpg,360329218_1127155245811163_right.jpg,,,,,,,
360329545,1662793081311444,2948,4096,2048,right,1662793081311444.jpg,360329545_1662793081311444_right.jpg,,,,,,,
360330097,5.92142E+14,962,4096,2048,left,592142207121331.jpg,360330097_592142207121331_left.jpg,,,,,,,
360330127,1655768798479407,859,4096,2048,left,1655768798479407.jpg,360330127_1655768798479407_left.jpg,,,,,,,
360330337,1120843913168146,1022,4096,2048,left,1120843913168146.jpg,360330337_1120843913168146_left.jpg,,,,,,,
360330431,1160534798925642,3007,4096,2048,right,1160534798925642.jpg,360330431_1160534798925642_right.jpg,,,,,,,
360330432,3826100811052547,3041,4096,2048,right,3826100811052547.jpg,360330432_3826100811052547_right.jpg,,,,,,,
360330437,1351743896262442,2891,4096,2048,right,1351743896262442.jpg,360330437_1351743896262442_right.jpg,,,,,,,
360330513,1160534798925642,887,4096,2048,left,1160534798925642.jpg,360330513_1160534798925642_left.jpg,,,,,,,
360330607,1605568636997360,1059,4096,2048,left,1605568636997360.jpg,360330607_1605568636997360_left.jpg,,,,,,,
360330956,3826100811052547,946,4096,2048,left,3826100811052547.jpg,360330956_3826100811052547_left.jpg,,,,,,,
360332573,9119224554821156,934,4096,2048,left,9119224554821156.jpg,360332573_9119224554821156_left.jpg,,,,,,,
360332574,1152058356533330,902,4096,2048,left,1152058356533330.jpg,360332574_1152058356533330_left.jpg,,,,,,,
360332576,2454768808191637,967,4096,2048,left,2454768808191637.jpg,360332576_2454768808191637_left.jpg,,,,,,,
360332579,2339283489780364,1021,4096,2048,left,2339283489780364.jpg,360332579_2339283489780364_left.jpg,,,,,,,
360332581,1763564054440599,744,4096,2048,left,1763564054440599.jpg,360332581_1763564054440599_left.jpg,,,,,,,
360332589,9.87421E+14,1020,4096,2048,left,987420713271186.jpg,360332589_987420713271186_left.jpg,,,,,,,
360332591,1414534173039419,1119,4096,2048,left,1414534173039419.jpg,360332591_1414534173039419_left.jpg,,,,,,,
360332592,5.07533E+14,1065,4096,2048,left,507533171941402.jpg,360332592_507533171941402_left.jpg,,,,,,,
360332595,1385252092439904,1096,4096,2048,left,1385252092439904.jpg,360332595_1385252092439904_left.jpg,,,,,,,
360332597,1316815522858368,933,4096,2048,left,1316815522858368.jpg,360332597_1316815522858368_left.jpg,,,,,,,
360332600,6.17102E+14,957,4096,2048,left,617101791258549.jpg,360332600_617101791258549_left.jpg,,,,,,,
360332601,1113640557164271,2980,4096,2048,right,1113640557164271.jpg,360332601_1113640557164271_right.jpg,,,,,,,
360332602,1799328924243701,901,4096,2048,left,1799328924243701.jpg,360332602_1799328924243701_left.jpg,,,,,,,
360332603,4.81196E+14,849,4096,2048,left,481196161475645.jpg,360332603_481196161475645_left.jpg,,,,,,,
360332604,5.96955E+14,998,4096,2048,left,596954603261178.jpg,360332604_596954603261178_left.jpg,,,,,,,
360332608,9.43279E+14,997,4096,2048,left,943278984193927.jpg,360332608_943278984193927_left.jpg,,,,,,,
360332613,1171755154310617,1532,4096,2048,left,1171755154310617.jpg,360332613_1171755154310617_left.jpg,,,,,,,
360332618,1839871430130715,986,4096,2048,left,1839871430130715.jpg,360332618_1839871430130715_left.jpg,,,,,,,
360334364,1282277643071906,1080,4096,2048,left,1282277643071906.jpg,360334364_1282277643071906_left.jpg,,,,,,,
360334380,1345336133264699,934,4096,2048,left,1345336133264699.jpg,360334380_1345336133264699_left.jpg,,,,,,,
360334383,6.36045E+14,1070,4096,2048,left,636045025434571.jpg,360334383_636045025434571_left.jpg,,,,,,,
360334477,7807796699345100,888,4096,2048,left,7807796699345100.jpg,360334477_7807796699345100_left.jpg,,,,,,,
360364999,1279899746399262,3029,4096,2048,right,1279899746399262.jpg,360364999_1279899746399262_right.jpg,,,,,,,
360365000,1162775852235586,3111,4096,2048,right,1162775852235586.jpg,360365000_1162775852235586_right.jpg,,,,,,,
360454629,1566239654030706,2988,4096,2048,right,1566239654030706.jpg,360454629_1566239654030706_right.jpg,,,,,,,
360460953,8.76473E+14,3039,4096,2048,right,876472697796475.jpg,360460953_876472697796475_right.jpg,,,,,,,
360462850,1430398414595538,970,4096,2048,left,1430398414595538.jpg,360462850_1430398414595538_left.jpg,,,,,,,
360465576,6.33496E+14,2916,4096,2048,right,633495702394146.jpg,360465576_633495702394146_right.jpg,,,,,,,
360467995,3848356615476401,2925,4096,2048,right,3848356615476401.jpg,360467995_3848356615476401_right.jpg,,,,,,,
360475488,1341242990415481,988,4096,2048,left,1341242990415481.jpg,360475488_1341242990415481_left.jpg,,,,,,,
360490521,1289674215617618,2977,4096,2048,right,1289674215617618.jpg,360490521_1289674215617618_right.jpg,,,,,,,
360490528,9.85991E+14,2933,4096,2048,right,985990736235743.jpg,360490528_985990736235743_right.jpg,,,,,,,
360529543,4.70893E+14,3072,4096,2048,right,470892562623204.jpg,360529543_470892562623204_right.jpg,,,,,,,
360529552,1798680907533086,3110,4096,2048,right,1798680907533086.jpg,360529552_1798680907533086_right.jpg,,,,,,,
360529600,1402484431159339,2990,4096,2048,right,1402484431159339.jpg,360529600_1402484431159339_right.jpg,,,,,,,
360537892,1589610101671108,840,4096,2048,left,1589610101671108.jpg,360537892_1589610101671108_left.jpg,,,,,,,
360540006,2870213856489319,936,4096,2048,left,2870213856489319.jpg,360540006_2870213856489319_left.jpg,,,,,,,
360540042,1151778396584837,979,4096,2048,left,1151778396584837.jpg,360540042_1151778396584837_left.jpg,,,,,,,
360541041,9.36593E+14,2994,4096,2048,right,936593315332055.jpg,360541041_936593315332055_right.jpg,,,,,,,
360542161,5.93365E+14,2946,4096,2048,right,593365336932391.jpg,360542161_593365336932391_right.jpg,,,,,,,
