<<<<<<< HEAD
svi_path,sat_path
dataset/labels_data/svi/air_flow/closed_structure/361881358.png,dataset/labels_data/sat/air_flow/closed_structure/361881358.png
dataset/labels_data/svi/green_in_sight/yes/361881358.png,dataset/labels_data/sat/green_in_sight/yes/361881358.png
dataset/labels_data/svi/floors/one/361881358.png,dataset/labels_data/sat/floors/one/361881358.png
dataset/labels_data/svi/material_rooftop/metal/361881358.png,dataset/labels_data/sat/material_rooftop/metal/361881358.png
dataset/labels_data/svi/material_wall/concrete/361881358.png,dataset/labels_data/sat/material_wall/concrete/361881358.png
dataset/labels_data/svi/air_flow/unclear/361567348.png,dataset/labels_data/sat/air_flow/unclear/361567348.png
dataset/labels_data/svi/green_in_sight/yes/361567348.png,dataset/labels_data/sat/green_in_sight/yes/361567348.png
dataset/labels_data/svi/floors/one/361567348.png,dataset/labels_data/sat/floors/one/361567348.png
dataset/labels_data/svi/material_rooftop/metal/361567348.png,dataset/labels_data/sat/material_rooftop/metal/361567348.png
dataset/labels_data/svi/material_wall/metal/361567348.png,dataset/labels_data/sat/material_wall/metal/361567348.png
dataset/labels_data/svi/air_flow/closed_structure/1007318267.png,dataset/labels_data/sat/air_flow/closed_structure/1007318267.png
dataset/labels_data/svi/green_in_sight/yes/1007318267.png,dataset/labels_data/sat/green_in_sight/yes/1007318267.png
dataset/labels_data/svi/floors/one/1007318267.png,dataset/labels_data/sat/floors/one/1007318267.png
dataset/labels_data/svi/material_rooftop/metal/1007318267.png,dataset/labels_data/sat/material_rooftop/metal/1007318267.png
dataset/labels_data/svi/material_wall/concrete/1007318267.png,dataset/labels_data/sat/material_wall/concrete/1007318267.png
dataset/labels_data/svi/air_flow/closed_structure/364726300.png,dataset/labels_data/sat/air_flow/closed_structure/364726300.png
dataset/labels_data/svi/green_in_sight/yes/364726300.png,dataset/labels_data/sat/green_in_sight/yes/364726300.png
dataset/labels_data/svi/floors/one/364726300.png,dataset/labels_data/sat/floors/one/364726300.png
dataset/labels_data/svi/material_rooftop/metal/364726300.png,dataset/labels_data/sat/material_rooftop/metal/364726300.png
dataset/labels_data/svi/material_wall/concrete/364726300.png,dataset/labels_data/sat/material_wall/concrete/364726300.png
dataset/labels_data/svi/air_flow/closed_structure/363098488.png,dataset/labels_data/sat/air_flow/closed_structure/363098488.png
dataset/labels_data/svi/green_in_sight/no/363098488.png,dataset/labels_data/sat/green_in_sight/no/363098488.png
dataset/labels_data/svi/floors/one/363098488.png,dataset/labels_data/sat/floors/one/363098488.png
dataset/labels_data/svi/material_rooftop/metal/363098488.png,dataset/labels_data/sat/material_rooftop/metal/363098488.png
dataset/labels_data/svi/material_wall/concrete/363098488.png,dataset/labels_data/sat/material_wall/concrete/363098488.png
dataset/labels_data/svi/air_flow/closed_structure/1003993974.png,dataset/labels_data/sat/air_flow/closed_structure/1003993974.png
dataset/labels_data/svi/green_in_sight/yes/1003993974.png,dataset/labels_data/sat/green_in_sight/yes/1003993974.png
dataset/labels_data/svi/floors/one/1003993974.png,dataset/labels_data/sat/floors/one/1003993974.png
dataset/labels_data/svi/material_rooftop/metal/1003993974.png,dataset/labels_data/sat/material_rooftop/metal/1003993974.png
dataset/labels_data/svi/material_wall/concrete/1003993974.png,dataset/labels_data/sat/material_wall/concrete/1003993974.png
dataset/labels_data/svi/air_flow/closed_structure/1003994083.png,dataset/labels_data/sat/air_flow/closed_structure/1003994083.png
dataset/labels_data/svi/green_in_sight/yes/1003994083.png,dataset/labels_data/sat/green_in_sight/yes/1003994083.png
dataset/labels_data/svi/floors/one/1003994083.png,dataset/labels_data/sat/floors/one/1003994083.png
dataset/labels_data/svi/material_rooftop/metal/1003994083.png,dataset/labels_data/sat/material_rooftop/metal/1003994083.png
dataset/labels_data/svi/material_wall/concrete/1003994083.png,dataset/labels_data/sat/material_wall/concrete/1003994083.png
dataset/labels_data/svi/air_flow/closed_structure/1005887635.png,dataset/labels_data/sat/air_flow/closed_structure/1005887635.png
dataset/labels_data/svi/green_in_sight/yes/1005887635.png,dataset/labels_data/sat/green_in_sight/yes/1005887635.png
dataset/labels_data/svi/floors/one/1005887635.png,dataset/labels_data/sat/floors/one/1005887635.png
dataset/labels_data/svi/material_rooftop/metal/1005887635.png,dataset/labels_data/sat/material_rooftop/metal/1005887635.png
dataset/labels_data/svi/material_wall/concrete/1005887635.png,dataset/labels_data/sat/material_wall/concrete/1005887635.png
dataset/labels_data/svi/air_flow/closed_structure/360675013.png,dataset/labels_data/sat/air_flow/closed_structure/360675013.png
dataset/labels_data/svi/green_in_sight/yes/360675013.png,dataset/labels_data/sat/green_in_sight/yes/360675013.png
dataset/labels_data/svi/floors/one/360675013.png,dataset/labels_data/sat/floors/one/360675013.png
dataset/labels_data/svi/material_rooftop/metal/360675013.png,dataset/labels_data/sat/material_rooftop/metal/360675013.png
dataset/labels_data/svi/material_wall/concrete/360675013.png,dataset/labels_data/sat/material_wall/concrete/360675013.png
dataset/labels_data/svi/air_flow/closed_structure/362927123.png,dataset/labels_data/sat/air_flow/closed_structure/362927123.png
dataset/labels_data/svi/green_in_sight/yes/362927123.png,dataset/labels_data/sat/green_in_sight/yes/362927123.png
dataset/labels_data/svi/floors/one/362927123.png,dataset/labels_data/sat/floors/one/362927123.png
dataset/labels_data/svi/material_rooftop/metal/362927123.png,dataset/labels_data/sat/material_rooftop/metal/362927123.png
dataset/labels_data/svi/material_wall/concrete/362927123.png,dataset/labels_data/sat/material_wall/concrete/362927123.png
dataset/labels_data/svi/air_flow/closed_structure/364493414.png,dataset/labels_data/sat/air_flow/closed_structure/364493414.png
dataset/labels_data/svi/green_in_sight/yes/364493414.png,dataset/labels_data/sat/green_in_sight/yes/364493414.png
dataset/labels_data/svi/floors/one/364493414.png,dataset/labels_data/sat/floors/one/364493414.png
dataset/labels_data/svi/material_rooftop/unclear/364493414.png,dataset/labels_data/sat/material_rooftop/unclear/364493414.png
dataset/labels_data/svi/material_wall/concrete/364493414.png,dataset/labels_data/sat/material_wall/concrete/364493414.png
dataset/labels_data/svi/air_flow/unclear/1003993924.png,dataset/labels_data/sat/air_flow/unclear/1003993924.png
dataset/labels_data/svi/green_in_sight/yes/1003993924.png,dataset/labels_data/sat/green_in_sight/yes/1003993924.png
dataset/labels_data/svi/floors/one/1003993924.png,dataset/labels_data/sat/floors/one/1003993924.png
dataset/labels_data/svi/material_rooftop/unclear/1003993924.png,dataset/labels_data/sat/material_rooftop/unclear/1003993924.png
dataset/labels_data/svi/material_wall/unclear/1003993924.png,dataset/labels_data/sat/material_wall/unclear/1003993924.png
dataset/labels_data/svi/air_flow/closed_structure/361690709.png,dataset/labels_data/sat/air_flow/closed_structure/361690709.png
dataset/labels_data/svi/green_in_sight/yes/361690709.png,dataset/labels_data/sat/green_in_sight/yes/361690709.png
dataset/labels_data/svi/floors/one/361690709.png,dataset/labels_data/sat/floors/one/361690709.png
dataset/labels_data/svi/material_rooftop/metal/361690709.png,dataset/labels_data/sat/material_rooftop/metal/361690709.png
dataset/labels_data/svi/material_wall/concrete/361690709.png,dataset/labels_data/sat/material_wall/concrete/361690709.png
dataset/labels_data/svi/air_flow/closed_structure/1005598599.png,dataset/labels_data/sat/air_flow/closed_structure/1005598599.png
dataset/labels_data/svi/green_in_sight/yes/1005598599.png,dataset/labels_data/sat/green_in_sight/yes/1005598599.png
dataset/labels_data/svi/floors/one/1005598599.png,dataset/labels_data/sat/floors/one/1005598599.png
dataset/labels_data/svi/material_rooftop/unclear/1005598599.png,dataset/labels_data/sat/material_rooftop/unclear/1005598599.png
dataset/labels_data/svi/material_wall/concrete/1005598599.png,dataset/labels_data/sat/material_wall/concrete/1005598599.png
dataset/labels_data/svi/air_flow/closed_structure/367583126.png,dataset/labels_data/sat/air_flow/closed_structure/367583126.png
dataset/labels_data/svi/green_in_sight/yes/367583126.png,dataset/labels_data/sat/green_in_sight/yes/367583126.png
dataset/labels_data/svi/floors/one/367583126.png,dataset/labels_data/sat/floors/one/367583126.png
dataset/labels_data/svi/material_rooftop/shingles/367583126.png,dataset/labels_data/sat/material_rooftop/shingles/367583126.png
dataset/labels_data/svi/material_wall/concrete/367583126.png,dataset/labels_data/sat/material_wall/concrete/367583126.png
dataset/labels_data/svi/air_flow/closed_structure/1003545026.png,dataset/labels_data/sat/air_flow/closed_structure/1003545026.png
dataset/labels_data/svi/green_in_sight/yes/1003545026.png,dataset/labels_data/sat/green_in_sight/yes/1003545026.png
dataset/labels_data/svi/floors/one/1003545026.png,dataset/labels_data/sat/floors/one/1003545026.png
dataset/labels_data/svi/material_rooftop/shingles/1003545026.png,dataset/labels_data/sat/material_rooftop/shingles/1003545026.png
dataset/labels_data/svi/material_wall/concrete/1003545026.png,dataset/labels_data/sat/material_wall/concrete/1003545026.png
dataset/labels_data/svi/air_flow/closed_structure/1003544938.png,dataset/labels_data/sat/air_flow/closed_structure/1003544938.png
dataset/labels_data/svi/green_in_sight/yes/1003544938.png,dataset/labels_data/sat/green_in_sight/yes/1003544938.png
dataset/labels_data/svi/floors/one/1003544938.png,dataset/labels_data/sat/floors/one/1003544938.png
dataset/labels_data/svi/material_rooftop/shingles/1003544938.png,dataset/labels_data/sat/material_rooftop/shingles/1003544938.png
dataset/labels_data/svi/material_wall/concrete/1003544938.png,dataset/labels_data/sat/material_wall/concrete/1003544938.png
dataset/labels_data/svi/air_flow/closed_structure/1003973973.png,dataset/labels_data/sat/air_flow/closed_structure/1003973973.png
dataset/labels_data/svi/green_in_sight/yes/1003973973.png,dataset/labels_data/sat/green_in_sight/yes/1003973973.png
dataset/labels_data/svi/floors/one/1003973973.png,dataset/labels_data/sat/floors/one/1003973973.png
dataset/labels_data/svi/material_rooftop/metal/1003973973.png,dataset/labels_data/sat/material_rooftop/metal/1003973973.png
dataset/labels_data/svi/material_wall/concrete/1003973973.png,dataset/labels_data/sat/material_wall/concrete/1003973973.png
dataset/labels_data/svi/air_flow/closed_structure/1003543763.png,dataset/labels_data/sat/air_flow/closed_structure/1003543763.png
dataset/labels_data/svi/green_in_sight/yes/1003543763.png,dataset/labels_data/sat/green_in_sight/yes/1003543763.png
dataset/labels_data/svi/floors/one/1003543763.png,dataset/labels_data/sat/floors/one/1003543763.png
dataset/labels_data/svi/material_rooftop/metal/1003543763.png,dataset/labels_data/sat/material_rooftop/metal/1003543763.png
dataset/labels_data/svi/material_wall/concrete/1003543763.png,dataset/labels_data/sat/material_wall/concrete/1003543763.png
dataset/labels_data/svi/air_flow/closed_structure/1003995392.png,dataset/labels_data/sat/air_flow/closed_structure/1003995392.png
dataset/labels_data/svi/green_in_sight/yes/1003995392.png,dataset/labels_data/sat/green_in_sight/yes/1003995392.png
dataset/labels_data/svi/floors/one/1003995392.png,dataset/labels_data/sat/floors/one/1003995392.png
dataset/labels_data/svi/material_rooftop/metal/1003995392.png,dataset/labels_data/sat/material_rooftop/metal/1003995392.png
dataset/labels_data/svi/material_wall/concrete/1003995392.png,dataset/labels_data/sat/material_wall/concrete/1003995392.png
dataset/labels_data/svi/air_flow/closed_structure/1003974241.png,dataset/labels_data/sat/air_flow/closed_structure/1003974241.png
dataset/labels_data/svi/green_in_sight/yes/1003974241.png,dataset/labels_data/sat/green_in_sight/yes/1003974241.png
dataset/labels_data/svi/floors/one/1003974241.png,dataset/labels_data/sat/floors/one/1003974241.png
dataset/labels_data/svi/material_rooftop/metal/1003974241.png,dataset/labels_data/sat/material_rooftop/metal/1003974241.png
dataset/labels_data/svi/material_wall/concrete/1003974241.png,dataset/labels_data/sat/material_wall/concrete/1003974241.png
dataset/labels_data/svi/air_flow/closed_structure/1002698400.png,dataset/labels_data/sat/air_flow/closed_structure/1002698400.png
dataset/labels_data/svi/green_in_sight/yes/1002698400.png,dataset/labels_data/sat/green_in_sight/yes/1002698400.png
dataset/labels_data/svi/floors/one/1002698400.png,dataset/labels_data/sat/floors/one/1002698400.png
dataset/labels_data/svi/material_rooftop/metal/1002698400.png,dataset/labels_data/sat/material_rooftop/metal/1002698400.png
dataset/labels_data/svi/material_wall/concrete/1002698400.png,dataset/labels_data/sat/material_wall/concrete/1002698400.png
dataset/labels_data/svi/air_flow/closed_structure/1003997753.png,dataset/labels_data/sat/air_flow/closed_structure/1003997753.png
