svi_path,sat_path,wall_albedo,sat_albedo
dataset/labels_data/svi/all/1002698153.png,dataset/labels_data/sat/all/1002698153.png,89.67251142,37.49134457
dataset/labels_data/svi/all/1002698164.png,dataset/labels_data/sat/all/1002698164.png,64.72519707,28.67748832
dataset/labels_data/svi/all/1002698173.png,dataset/labels_data/sat/all/1002698173.png,55.53593101,46.99451662
dataset/labels_data/svi/all/1002698206.png,dataset/labels_data/sat/all/1002698206.png,143.4387164,19.06283264
dataset/labels_data/svi/all/1002698217.png,dataset/labels_data/sat/all/1002698217.png,91.51057322,6.821862535
dataset/labels_data/svi/all/1002698220.png,dataset/labels_data/sat/all/1002698220.png,155.3874021,28.59915947
dataset/labels_data/svi/all/1002698224.png,dataset/labels_data/sat/all/1002698224.png,156.1853365,31.56798452
dataset/labels_data/svi/all/1002698236.png,dataset/labels_data/sat/all/1002698236.png,82.503919,26.35832603
dataset/labels_data/svi/all/1002698248.png,dataset/labels_data/sat/all/1002698248.png,137.6637063,7.594553471
dataset/labels_data/svi/all/1002698260.png,dataset/labels_data/sat/all/1002698260.png,53.52383428,8.748782433
dataset/labels_data/svi/all/1002698264.png,dataset/labels_data/sat/all/1002698264.png,86.93179056,35.73159251
dataset/labels_data/svi/all/1002698269.png,dataset/labels_data/sat/all/1002698269.png,156.9615181,28.47099647
dataset/labels_data/svi/all/1002698270.png,dataset/labels_data/sat/all/1002698270.png,73.89051181,34.36962908
dataset/labels_data/svi/all/1002698275.png,dataset/labels_data/sat/all/1002698275.png,75.66527778,34.60523706
dataset/labels_data/svi/all/1002698286.png,dataset/labels_data/sat/all/1002698286.png,70.83962227,30.25426124
dataset/labels_data/svi/all/1002698307.png,dataset/labels_data/sat/all/1002698307.png,138.3814039,53.00605515
dataset/labels_data/svi/all/1002698309.png,dataset/labels_data/sat/all/1002698309.png,69.04081678,52.05940269
dataset/labels_data/svi/all/1002698317.png,dataset/labels_data/sat/all/1002698317.png,179.178356,30.14896097
dataset/labels_data/svi/all/1002698322.png,dataset/labels_data/sat/all/1002698322.png,139.6497638,32.04158944
dataset/labels_data/svi/all/1002698327.png,dataset/labels_data/sat/all/1002698327.png,40.55821078,12.8281774
dataset/labels_data/svi/all/1002698329.png,dataset/labels_data/sat/all/1002698329.png,158.4121054,33.28132099
dataset/labels_data/svi/all/1002698344.png,dataset/labels_data/sat/all/1002698344.png,110.4063214,45.23512021
dataset/labels_data/svi/all/1002698350.png,dataset/labels_data/sat/all/1002698350.png,88.82116966,21.40413361
dataset/labels_data/svi/all/1002698351.png,dataset/labels_data/sat/all/1002698351.png,105.2292826,21.5001111
dataset/labels_data/svi/all/1002698357.png,dataset/labels_data/sat/all/1002698357.png,107.3591623,7.63417149
dataset/labels_data/svi/all/1002698364.png,dataset/labels_data/sat/all/1002698364.png,61.23788365,9.665015013
dataset/labels_data/svi/all/1002698366.png,dataset/labels_data/sat/all/1002698366.png,113.8231545,33.07202648
dataset/labels_data/svi/all/1002698383.png,dataset/labels_data/sat/all/1002698383.png,174.8687149,36.37084444
dataset/labels_data/svi/all/1002698387.png,dataset/labels_data/sat/all/1002698387.png,106.4329664,32.56029862
dataset/labels_data/svi/all/1002698393.png,dataset/labels_data/sat/all/1002698393.png,89.25750718,23.05713314
dataset/labels_data/svi/all/1002698398.png,dataset/labels_data/sat/all/1002698398.png,109.5380058,28.01866464
dataset/labels_data/svi/all/1002698399.png,dataset/labels_data/sat/all/1002698399.png,31.67022293,21.88524595
dataset/labels_data/svi/all/1002698400.png,dataset/labels_data/sat/all/1002698400.png,76.3857599,36.71324993
dataset/labels_data/svi/all/1002698407.png,dataset/labels_data/sat/all/1002698407.png,94.89240278,34.04357305
dataset/labels_data/svi/all/1002698421.png,dataset/labels_data/sat/all/1002698421.png,107.9183333,36.46956876
dataset/labels_data/svi/all/1002698426.png,dataset/labels_data/sat/all/1002698426.png,94.1550638,67.60086878
dataset/labels_data/svi/all/1002698438.png,dataset/labels_data/sat/all/1002698438.png,153.3706976,46.71614448
